id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,has_review,estimated_revenue,minimum_nights_category,price_category,availability_category,month,season
12332264,1927968,Sathon,13.72062,100.54707,Entire home/apt,750,1,91,2022-12-12,1.21,37,307,5,1,43500,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
12334427,66572330,Bang Rak,13.72414,100.52215,Hotel room,1000,1,11,2019-01-14,0.14,4,364,0,1,1000,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),1.0,High Season
12336942,63805133,Vadhana,13.7355,100.568,Private room,3117,1,8,2017-04-06,0.1,2,364,0,1,3117,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),4.0,Mid Season
13271277,72470323,Khlong Toei,13.73182,100.56484,Private room,1290,1,8,2019-01-29,0.1,1,25,0,1,438600,Pendek (1-7 hari),Sedang,Rendah (<100 hari),1.0,High Season
12906275,34490141,Suanluang,13.71073,100.64553,Entire home/apt,800,1,4,2019-03-29,0.05,4,327,0,1,30400,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),3.0,Mid Season
12906923,36202694,Vadhana,13.74308,100.55729,Entire home/apt,800,25,75,2022-11-16,0.93,2,262,4,1,82400,Sedang (8-30 hari),Rendah,Sedang (100-300 hari),11.0,High Season
12907998,69865833,Khlong Toei,13.70986,100.59344,Entire home/apt,850,30,8,2022-12-13,1.1,1,274,8,1,77350,Sedang (8-30 hari),Rendah,Sedang (100-300 hari),12.0,High Season
13273066,74780443,Ratchathewi,13.75295,100.56254,Private room,1732,45,5,2016-08-07,0.06,1,363,0,1,3464,Panjang (>30 hari),Sedang,Tinggi (>300 hari),8.0,Low Season
12338816,24205018,Lat Krabang,13.75409,100.78909,Private room,660,1,2,2017-10-23,0.03,1,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),10.0,Low Season
12909752,68825674,Khlong San,13.72159,100.49631,Private room,550,60,0,,0.0,1,365,0,0,0,Panjang (>30 hari),Rendah,Tinggi (>300 hari),,Unknown
12345809,259367134,Yan na wa,13.71787,100.54876,Entire home/apt,1039,2,30,2022-12-21,0.72,2,154,2,1,219229,Pendek (1-7 hari),Sedang,Sedang (100-300 hari),12.0,High Season
12918427,36202694,Vadhana,13.74231,100.55905,Entire home/apt,800,25,90,2022-11-27,1.12,2,233,3,1,105600,Sedang (8-30 hari),Rendah,Sedang (100-300 hari),11.0,High Season
12927591,70943122,Khlong Toei,13.71449,100.59151,Hotel room,1190,1,5,2018-02-12,0.06,1,365,0,1,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),2.0,High Season
12940137,61476163,Bueng Kum,13.79522,100.65413,Entire home/apt,1080,3,0,,0.0,11,365,0,0,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
13285260,74940198,Bang Na,13.67205,100.63699,Entire home/apt,1039,30,33,2019-07-25,0.43,5,56,0,1,321051,Sedang (8-30 hari),Sedang,Rendah (<100 hari),7.0,Low Season
13286234,62257044,Khlong Toei,13.7386,100.55779,Entire home/apt,1650,20,60,2022-12-14,0.75,56,99,9,1,438900,Sedang (8-30 hari),Sedang,Rendah (<100 hari),12.0,High Season
12941060,71088787,Parthum Wan,13.74529,100.52208,Hotel room,2500,1,0,,0.0,8,365,0,0,0,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12347787,34072020,Bang Kho laen,13.69125,100.5048,Entire home/apt,10000,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12949552,27550757,Phaya Thai,13.7654,100.54498,Entire home/apt,1143,1,48,2020-01-21,0.61,7,172,0,1,220599,Pendek (1-7 hari),Sedang,Sedang (100-300 hari),1.0,High Season
12349035,50168738,Pra Wet,13.69101,100.63912,Private room,800,30,0,,0.0,1,362,0,0,2400,Sedang (8-30 hari),Rendah,Tinggi (>300 hari),,Unknown
13302237,68776783,Huai Khwang,13.75846,100.56996,Entire home/apt,750,5,62,2022-12-03,0.78,1,147,5,1,163500,Pendek (1-7 hari),Rendah,Sedang (100-300 hari),12.0,High Season
12956580,32317869,Vadhana,13.73034,100.5816,Private room,599,1,0,,0.0,9,356,0,0,5391,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
12957559,32317869,Vadhana,13.7304,100.58154,Private room,560,1,7,2020-03-01,0.1,9,356,0,1,5040,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),3.0,Mid Season
12959437,71247753,Vadhana,13.73986,100.56787,Entire home/apt,6000,2,27,2022-11-22,0.34,2,176,3,1,1134000,Pendek (1-7 hari),Tinggi,Sedang (100-300 hari),11.0,High Season
12367465,66818543,Parthum Wan,13.73723,100.52182,Hotel room,955,1,31,2022-11-25,0.41,6,295,8,1,66850,Pendek (1-7 hari),Rendah,Sedang (100-300 hari),11.0,High Season
12960000,8960113,Vadhana,13.71214,100.60158,Entire home/apt,1000,45,8,2022-10-01,0.1,2,0,1,1,365000,Panjang (>30 hari),Rendah,Rendah (<100 hari),10.0,Low Season
13302844,75140741,Suanluang,13.70733,100.60939,Private room,935,1,0,,0.0,1,362,0,0,2805,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
12963657,71281945,Bangkok Noi,13.76135,100.4723,Entire home/apt,749,3,111,2022-12-15,1.41,1,137,7,1,170772,Pendek (1-7 hari),Rendah,Sedang (100-300 hari),12.0,High Season
12372087,66854591,Bang Na,13.66144,100.61045,Private room,1200,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
12372560,66818543,Parthum Wan,13.73716,100.52177,Hotel room,955,1,16,2022-10-04,0.21,6,305,2,1,57300,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),10.0,Low Season
12372939,66818543,Parthum Wan,13.73721,100.52111,Hotel room,855,1,8,2022-07-16,0.13,6,303,1,1,53010,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),7.0,Low Season
12373288,66818543,Parthum Wan,13.73821,100.52063,Hotel room,1153,1,7,2022-11-05,0.13,6,305,2,1,69180,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),11.0,High Season
